tid,time,tweet
335104694831706112,Thu May 16 18:49:19 +0000 2013,HAMMMMonTURKEYSmh wait till I SEE DAT THANKSGIVIN FOOD IM GOIN HAMMMMonTURKEY
334547052920975360,Wed May 15 05:53:27 +0000 2013,TeamfollowbackTeamfollowback are you up? RETWEET
333601362950647808,Sun May 12 15:15:37 +0000 2013,"i dont express my feelings much, so if i open up to you only a little...you better be happy!"
328942393279803392,Mon Apr 29 18:42:32 +0000 2013,UniaoDoTwitterSegueEuSigoDeVoltaUniaoDoTwitterSegueEuSigoDeVolta podem confiar xD
328066079542874112,Sat Apr 27 08:40:23 +0000 2013,bueno en un rato me voy a trabajar
320040071862579200,Fri Apr 05 05:07:53 +0000 2013,"All our salads are served with romaine lettuce, shredded cheese, beans, pico de gallo, cucumbers and black olives.  Your choice of dressing"
316440066421571584,Tue Mar 26 06:42:45 +0000 2013,I need a word with you. Well what about piss off twat. That's 3 just for you.
310233691022565376,Sat Mar 09 03:40:50 +0000 2013,"One thing il never experience , being broke ."
300310027984568320,Sat Feb 09 18:27:44 +0000 2013,I thought very lack lustre post NFP so left the markets to their own dreary reaction post NY open. I am a lazy trader on Fridays !!!
298513616670445568,Mon Feb 04 19:29:26 +0000 2013,RT please!!!!!!! f4f to anyone:)
296810087966720000,Thu Jan 31 02:40:14 +0000 2013,RT @TopUSNewsToday: How can you ReTweet your message 1000 times? It's easy http://t.co/zODoAGuj Order and watch 1000 people promote you. ...
295824724389412864,Mon Jan 28 09:24:45 +0000 2013,Knp pria lebih sedikit dr wanita? Karena pria banyak tewas diracuni oleh wanita...(Wanita racun dunia)
291895318033883136,Thu Jan 17 13:10:41 +0000 2013,i aint got time fa these weak ass niggas..
288965859479793664,Wed Jan 09 11:10:04 +0000 2013,"onceuponatime#onceuponatime there was a boy and a girl and they lived happily ever after, the end."
283704501611925505,Tue Dec 25 22:43:18 +0000 2012,"I'm that type of person that wants to get good grades, but doesn't want to study"
282659688636620801,Sun Dec 23 01:31:35 +0000 2012,i dont get mad i get curious and she no dat
281305491152457728,Wed Dec 19 07:50:30 +0000 2012,no no no no..na na na..
277484624362496001,Sat Dec 08 18:47:44 +0000 2012,RT @JMHHACKER: Free E Cigarette Starter Kits here - http://t.co/KittuNxw
277483496224731136,Sat Dec 08 18:43:15 +0000 2012,"Miami comprises over 400,000 people in a mere 35 square miles."
274766227698774016,Sat Dec 01 06:45:48 +0000 2012,Wat do u call a cow who can stand up?....ground beef lol my teacher is funny
273862932201340929,Wed Nov 28 18:56:25 +0000 2012,"KClotehDon't say no no no no, just say yeah yeah yeah yeah and we'll go go go go #KCloteh"
271928690085072897,Fri Nov 23 10:50:26 +0000 2012,Pak mufhti Щ(ºДºщ)
269174223015124992,Thu Nov 15 20:25:10 +0000 2012,Hari ini berangkat :'(
267281478893834240,Sat Nov 10 15:04:05 +0000 2012,Happy THANKSGIVING! I am thankful for great people who feed me food. What about you?
266038350543212545,Wed Nov 07 04:44:20 +0000 2012,"Что мы от них сейчас имеем?! Конфетки-бараночки чернобыльские,семечки...И ВСЁ!!!"
262277790034980865,Sat Oct 27 19:41:12 +0000 2012,"Actually getting some work done in college today, what's going on!"
262277676679708672,Sat Oct 27 19:40:45 +0000 2012,Tommorow I better not here anything about the giants...
261884205699571712,Fri Oct 26 17:37:14 +0000 2012,R.I.P MARCUS VINES 512 Goon
261884098774192128,Fri Oct 26 17:36:49 +0000 2012,I was ready at like 7 40
261216810605637632,Wed Oct 24 21:25:15 +0000 2012,Watchin Movies wut my spare time
260840672574197761,Tue Oct 23 20:30:37 +0000 2012,"I keep a hubcap on the passenger seat of my van. If I get stopped, I tell the officer that it came off a car in front of me. Being a good..."
258929745264271360,Thu Oct 18 13:57:16 +0000 2012,ITS CHRISTMASS!
258385882258739200,Wed Oct 17 01:56:09 +0000 2012,"Teach me how to cook, Tee Teach me how to cook, errrbody hungry, err everybody hungry, don't be messing with my stomach!!!"
257860050960412672,Mon Oct 15 15:06:41 +0000 2012,"Emotional healing first, then the intospection to get the lesson."
257369404310962176,Sun Oct 14 06:37:02 +0000 2012,leo
256010195354931200,Wed Oct 10 12:36:01 +0000 2012,後輩に、勉強しなくて大丈夫ですか？！と言われた（笑）
256010044510986240,Wed Oct 10 12:35:25 +0000 2012,"numbers getting deleted, ya know meee im smooove,"
252649845611958272,Mon Oct 01 06:03:11 +0000 2012,I can't wait for the BTWBall!
248671293770182657,Thu Sep 20 06:33:51 +0000 2012,"What's good twitters!!! I've kno it been awhile since i been on here, tell me wasup...?"
238180272460402688,Wed Aug 22 07:46:16 +0000 2012,everyone follow me on twitter!!!!
237247227368722433,Sun Aug 19 17:58:41 +0000 2012,"погода немного старнная,то ли жарко то ли холодно.."
227585824378744832,Tue Jul 24 02:07:43 +0000 2012,Never fear the shadows. They simply mean that there's a light somewhere nearby.
223176676518010880,Wed Jul 11 22:07:20 +0000 2012,HE said he wants to be a dictator! Lmao...
219704755352649728,Mon Jul 02 08:11:10 +0000 2012,"The saddest thing in the world, is loving someone who used to love you."
217156756936200192,Mon Jun 25 07:26:20 +0000 2012,I've got a heart of gold
