uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label
1120176186,11,257,22,Content Polluter
1124249136,11,226,20,Content Polluter
1124264132,13,281,19,Content Polluter
1124293891,19,237,21,Content Polluter
1124295318,20,262,22,Content Polluter
1124301420,14,269,19,Content Polluter
1124314592,13,242,22,Content Polluter
1124348202,8,235,19,Content Polluter
1124360551,13,265,23,Content Polluter
1124407771,9,257,26,Content Polluter
1124447899,10,259,32,Content Polluter
1124453858,7,227,20,Content Polluter
1124459342,14,259,23,Content Polluter
1124512352,13,228,20,Content Polluter
1124542038,16,282,27,Content Polluter
1124550980,6,218,19,Content Polluter
1124613985,14,259,24,Content Polluter
1124616192,12,258,21,Content Polluter
1124632188,5,230,16,Content Polluter
1124643068,5,225,23,Content Polluter
1124711090,12,245,25,Content Polluter
1124739583,6,256,27,Content Polluter
1124770110,13,241,28,Content Polluter
1124788411,10,236,22,Content Polluter
1124807293,18,266,26,Content Polluter
1125327924,13,217,21,Content Polluter
1125357410,11,261,25,Content Polluter
1125395220,16,249,22,Content Polluter
1125604190,6,262,19,Content Polluter
1125863318,12,236,20,Content Polluter
1125890246,10,239,19,Content Polluter
1125962952,10,238,19,Content Polluter
1125979442,7,268,21,Content Polluter
1126034406,11,256,20,Content Polluter
1126057680,8,242,21,Content Polluter
1126097768,12,258,26,Content Polluter
1126130328,14,261,27,Content Polluter
1126192496,14,246,18,Content Polluter
1126249350,10,238,15,Content Polluter
1126399904,11,228,24,Content Polluter
1126405698,14,246,18,Content Polluter
1126439455,9,259,24,Content Polluter
1126623571,11,242,25,Content Polluter
1126840332,9,195,15,Content Polluter
1126853088,11,244,20,Content Polluter
1126864016,15,244,24,Content Polluter
1126883186,19,250,26,Content Polluter
1126886184,9,255,21,Content Polluter
1126890631,13,220,19,Content Polluter
1126890798,8,251,24,Content Polluter
1126916953,11,246,17,Content Polluter
1126921074,11,236,20,Content Polluter
1126944366,11,236,15,Content Polluter
1126950427,14,253,21,Content Polluter
1126958802,13,270,24,Content Polluter
1126962823,13,238,20,Content Polluter
1126969171,21,294,26,Content Polluter
1126978626,12,260,24,Content Polluter
1126989775,6,263,26,Content Polluter
1127005453,7,242,17,Content Polluter
1127010846,15,260,22,Content Polluter
1127012520,13,239,20,Content Polluter
1127013050,18,255,19,Content Polluter
1127015257,16,242,22,Content Polluter
1127023860,14,263,20,Content Polluter
1127025932,10,244,23,Content Polluter
1127026316,12,226,22,Content Polluter
1127029874,9,221,20,Content Polluter
1127034602,16,248,22,Content Polluter
1127036438,14,249,30,Content Polluter
1127042088,15,244,20,Content Polluter
1127056663,10,230,23,Content Polluter
1127059790,14,246,25,Content Polluter
1127064612,9,222,23,Content Polluter
1127064944,11,245,24,Content Polluter
1127066796,11,257,24,Content Polluter
1127067181,16,254,23,Content Polluter
1127077592,8,242,22,Content Polluter
1127080364,14,258,18,Content Polluter
1127081611,11,233,27,Content Polluter
1127094674,13,251,23,Content Polluter
1127105233,13,240,16,Content Polluter
1127105250,11,266,16,Content Polluter
1127105509,13,246,29,Content Polluter
1127114233,12,230,24,Content Polluter
1127132214,16,247,19,Content Polluter
1127137806,12,233,24,Content Polluter
1127139246,10,262,24,Content Polluter
1127150011,14,220,20,Content Polluter
1127151044,10,224,16,Content Polluter
1127159532,16,277,26,Content Polluter
1127165334,19,248,27,Content Polluter
1127165706,14,236,16,Content Polluter
1127167910,11,260,16,Content Polluter
1127173856,15,228,13,Content Polluter
1127177594,10,247,22,Content Polluter
1127183491,12,260,25,Content Polluter
1127186004,12,249,21,Content Polluter
1127193253,5,232,18,Content Polluter
1127205985,15,258,18,Content Polluter
1127216318,15,223,20,Content Polluter
1127218854,12,253,26,Content Polluter
1127237954,10,268,23,Content Polluter
1127238390,0,0,0,Content Polluter
1127241931,13,215,27,Content Polluter
1127260807,11,269,19,Content Polluter
1127260830,13,260,18,Content Polluter
