uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label,Screen Name,Name
3610511,5470,2385,20370,Legitimate User,braddd,Davide Dellacasa
5656162,506,381,3131,Legitimate User,eKoeS,Simone Economo
5682702,264,87,4024,Legitimate User,tacone_,tacone
6067292,640,622,40586,Legitimate User,alesstar,alesaura
6015122,62,64,2016,Legitimate User,PerDiletto,Angelo
6140012,138,179,3603,Legitimate User,crispaol,CRISTIAN PAOLINI
6134312,128,168,1183,Legitimate User,tmpx,tmpx
6684602,1062,1770,6194,Legitimate User,Igor99,igor
7046912,23368,958,10962,Legitimate User,marcomassarotto,Marco Massarotto
7470952,760,712,10947,Legitimate User,personanormale,Antonio Parisi
8072492,477,218,2754,Legitimate User,alessandraelle,alessandra elle
8291932,1390,1177,26713,Legitimate User,mackley,Mackley
8858022,314,338,4111,Legitimate User,pvalente,Pasquale Valente
8927532,97,203,1441,Legitimate User,giacomo_beretta,Giacomo Beretta
8933252,289,1930,1698,Legitimate User,decumano,decumano
9351052,93,78,402,Legitimate User,bene83,Francesco Benedet
9564632,2242,918,16935,Legitimate User,Moscerina,Erica Firpo
9939012,689,891,9437,Legitimate User,Lonerunner,Flavio® 
9993142,505,571,3742,Legitimate User,_Annalisa_,_Annalisa_
10492262,81,181,770,Legitimate User,chimelandia,Valentina Bonarrivo
11176152,128,371,1430,Legitimate User,fpassannanti,Francesco 
13260592,899,305,6996,Legitimate User,fpav,fausta pavesio
14057516,375,1039,3284,Legitimate User,sognidispersivi,sognidispersivi
14112759,46,146,160,Legitimate User,Biecoblu67,Duilio
14492555,57,110,292,Legitimate User,felfoss,Felice Fossati
14709812,616,647,5876,Legitimate User,ladegri,ladegri
14865840,1132,1096,7534,Legitimate User,AndreaDenaro,Andrea Denaro
14958182,254,276,1294,Legitimate User,axela90,axel
15016610,298,419,6340,Legitimate User,fabpicca,Fabrizio Picca
15271419,6352,3873,5472,Legitimate User,svernali,Salvatore Vernali
15391421,2065,1125,22540,Legitimate User,maxio75,Maxio75
15836275,85,338,732,Legitimate User,lazy_,Giangiacomo Miani
15873303,623,323,38781,Legitimate User,Matteo81,Ma te? Ooo!!
16093829,1265,323,10451,Legitimate User,BetfairItalia,BetfairItalia
16591972,256,873,2784,Legitimate User,aldofontana,aldofontana
16927266,43,109,823,Legitimate User,davidedamico,Davide D'Amico
17654864,79,259,442,Legitimate User,LuigiCS,LuigiCS
17852114,86,131,350,Legitimate User,paola_uk,Paola Scarpini
18173213,393,1047,3694,Legitimate User,lizzappi,lizzappi
18527544,208,196,9686,Legitimate User,CarloFPC,Carlito
18671285,555,755,16427,Legitimate User,AndreaGot,Andrea Gottardi
18735790,85,121,1006,Legitimate User,avaldi,Andrea Valdi
18800245,300,951,1122,Legitimate User,robymca,roby mca
19598248,88,267,1386,Legitimate User,tafferugli,alberto
21102000,1964,2003,18267,Legitimate User,vera92,ϟ Australia ☮ 
21770069,3813,1505,15365,Legitimate User,giulianofederic,Giuliano Federico
22015750,552,1446,2242,Legitimate User,fpagani,Fabrizio Pagani
22136015,279,64,4149,Legitimate User,aliareblu,Alessia.
22203964,2526,299,8384,Legitimate User,giannisibilla,Gianni Sibilla
22508731,100,259,612,Legitimate User,mavitheweirdo,mavi zanirato
22627606,126,407,660,Legitimate User,gian_lu,Gianluca
22985259,849,1846,5287,Legitimate User,lo_scotchatore,Enrico Priora
23748269,165,285,2275,Legitimate User,elektra3000,Francesca B.
23847948,87,174,3551,Legitimate User,LemonWrin,Wrinzo
24352106,12,36,282,Legitimate User,gianlucamisino,Gianluca Misino
24510304,47,80,493,Legitimate User,GabPierro,Gabriele Pierro
25442408,283,268,1012,Legitimate User,youmakemephil,Filippo Satolli
25911628,134,257,1706,Legitimate User,gtenagli,Giacomo Tenaglia
26232444,45,66,103,Legitimate User,OnofrioMas,onofrio mastrandrea
26771352,35,178,189,Legitimate User,alonzo_89,Alfonso Paciello
27241975,179,154,3720,Legitimate User,lfred0,Alfredo Ghilarducci
27422705,110,295,1566,Legitimate User,massimocapone,Massimo Capone
27636956,627,1089,1672,Legitimate User,aldorosati,aldo rosati
27887098,69,210,969,Legitimate User,martinit87,Marta Frediani
28313453,378,239,7307,Legitimate User,chewzer,marco
28342883,1012,1449,4240,Legitimate User,LadyZazie,Claudia Cecconato
28363979,16,42,74,Legitimate User,danielestella,Daniele Stella
28845598,463,330,6866,Legitimate User,ROSSBNCRGL,il_wallflower
29500667,151,301,31546,Legitimate User,FioMaravillha,Michele 
29510629,69,318,966,Legitimate User,AngiF117,Angelica Ferrari
29646177,2638,1743,28808,Legitimate User,uzupetru,zu Petru 
30062603,88,205,386,Legitimate User,MoiraColantoni,Moira Colantoni
