tid,time,tweet
317247610597568512,Thu Mar 28 12:11:39 +0000 2013,"o-m-g you listen to that bitch?woah is me, baby this is tragic cause we had it, we was magic."
317213585002614784,Thu Mar 28 09:56:26 +0000 2013,"Un'ora e mezza di ritardo,ho superato ogni mio record!"
316636074438975489,Tue Mar 26 19:41:37 +0000 2013,"Baby if you give it to me,i'll give it to you as long as you want,you know I got it"
316554764328529920,Tue Mar 26 14:18:31 +0000 2013,Ma a ruzzle non ci gioca più nessuno?
316306227753807872,Mon Mar 25 21:50:56 +0000 2013,RT @KattWillliams: 1990 - 1995 = The Real 90's Kids
316305998048534528,Mon Mar 25 21:50:01 +0000 2013,"Limited edition, let’s do some simple additionFifty dollars for a t-shirt, that’s just some ignorant bitch shit"
316178288336850945,Mon Mar 25 13:22:32 +0000 2013,"""Va bene essere brutti,ma tu te ne approfitti!"""
315953786386513920,Sun Mar 24 22:30:27 +0000 2013,RT @frank_ocean: justin killin
315953549534187520,Sun Mar 24 22:29:30 +0000 2013,"Ribadisco:il 21/12 il mondo è finito!Gli alieni non ci hanno ucciso perché gli facciamo pena,e un pó anche ridere!"
315934976208162816,Sun Mar 24 21:15:42 +0000 2013,"Revenge? Nah I'm too lazy, I'm gonna sit here and let karma fuck you up!"
315530998253232128,Sat Mar 23 18:30:26 +0000 2013,è il caso che la gente inizi seriamente a starci dentro con la testa!!!
315444992913076225,Sat Mar 23 12:48:41 +0000 2013,"Gente che sfotte chi va al concerto di justin bieber,ma stasera solosolo matisss! #ildisagioèlostesso #fatesilenziova"
315239188691828736,Fri Mar 22 23:10:54 +0000 2013,Ehhhh se avessi il porto d'armi.........sarei in galera da diversi anni!! #faccioanchelarima
315182212704251905,Fri Mar 22 19:24:29 +0000 2013,Sfasiiii molestissimi in girooo!!!! #maahbohhh
315135461507080193,Fri Mar 22 16:18:43 +0000 2013,RT @fucktyler: HAHAHA
315134895846469633,Fri Mar 22 16:16:28 +0000 2013,Antistaminico docet #spring
314868939144433664,Thu Mar 21 22:39:39 +0000 2013,"Ultimamente sono talmente svampita che se la testa non fosse attaccata al collo,sarei capace di perdere anche quella! #malemale"
314829683101421568,Thu Mar 21 20:03:40 +0000 2013,il tarlo della vita é il nostro orgoglio.
314479713827569664,Wed Mar 20 20:53:01 +0000 2013,Si stava meglio quando si stava peggio
314452432019128320,Wed Mar 20 19:04:36 +0000 2013,"Le pagine delle scuole non hanno capito che 'gossip girl' é un telefilm,e che di chuck bass e blair waldorf non c'e ne sono!!! #ribeccatevi"
314360547015532545,Wed Mar 20 12:59:29 +0000 2013,new God flow
313902362781683713,Tue Mar 19 06:38:49 +0000 2013,Non ho mai studiato cosi poco per una verifica #storia #previstivotoni #bao
313802459044790272,Tue Mar 19 00:01:51 +0000 2013,RT @CremoniniCesare: Facciamoci questo tuffo nei ricordi. #Emozioni
313786997460303874,Mon Mar 18 23:00:24 +0000 2013,Thrift shop é la canzone più beeelaa!
313770579742318592,Mon Mar 18 21:55:10 +0000 2013,Che jjjjunglaaa
313746685912301568,Mon Mar 18 20:20:13 +0000 2013,"RT @MrKendrickLamar: The less you care, the happier you'll be."
313640688392749058,Mon Mar 18 13:19:01 +0000 2013,@xbibiiii oltre i miei disagi interiori vorrei solo che si ammettesse che il mondo é controllato dagli illuminati
313639470475911168,Mon Mar 18 13:14:11 +0000 2013,@xbibiiii ma sul serio!:(
