uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label
3610511,5470,2385,20370,Legitimate User
5656162,506,381,3131,Legitimate User
5682702,264,87,4024,Legitimate User
6067292,640,622,40586,Legitimate User
6015122,62,64,2016,Legitimate User
6140012,138,179,3603,Legitimate User
6134312,128,168,1183,Legitimate User
6684602,1062,1770,6194,Legitimate User
7046912,23368,958,10962,Legitimate User
7470952,760,712,10947,Legitimate User
8072492,477,218,2754,Legitimate User
8291932,1390,1177,26713,Legitimate User
8858022,314,338,4111,Legitimate User
8927532,97,203,1441,Legitimate User
8933252,289,1930,1698,Legitimate User
9351052,93,78,402,Legitimate User
9564632,2242,918,16935,Legitimate User
9939012,689,891,9437,Legitimate User
9993142,505,571,3742,Legitimate User
10492262,81,181,770,Legitimate User
11176152,128,371,1430,Legitimate User
13260592,899,305,6996,Legitimate User
14057516,375,1039,3284,Legitimate User
14112759,46,146,160,Legitimate User
14492555,57,110,292,Legitimate User
14709812,616,647,5876,Legitimate User
14865840,1132,1096,7534,Legitimate User
14958182,254,276,1294,Legitimate User
15016610,298,419,6340,Legitimate User
15271419,6352,3873,5472,Legitimate User
15391421,2065,1125,22540,Legitimate User
15836275,85,338,732,Legitimate User
15873303,623,323,38781,Legitimate User
16093829,1265,323,10451,Legitimate User
16591972,256,873,2784,Legitimate User
16927266,43,109,823,Legitimate User
17654864,79,259,442,Legitimate User
17852114,86,131,350,Legitimate User
18173213,393,1047,3694,Legitimate User
18527544,208,196,9686,Legitimate User
18671285,555,755,16427,Legitimate User
18735790,85,121,1006,Legitimate User
18800245,300,951,1122,Legitimate User
19598248,88,267,1386,Legitimate User
21102000,1964,2003,18267,Legitimate User
21770069,3813,1505,15365,Legitimate User
22015750,552,1446,2242,Legitimate User
22136015,279,64,4149,Legitimate User
22203964,2526,299,8384,Legitimate User
22508731,100,259,612,Legitimate User
22627606,126,407,660,Legitimate User
22985259,849,1846,5287,Legitimate User
23748269,165,285,2275,Legitimate User
23847948,87,174,3551,Legitimate User
24352106,12,36,282,Legitimate User
24510304,47,80,493,Legitimate User
25442408,283,268,1012,Legitimate User
25911628,134,257,1706,Legitimate User
26232444,45,66,103,Legitimate User
26771352,35,178,189,Legitimate User
27241975,179,154,3720,Legitimate User
27422705,110,295,1566,Legitimate User
27636956,627,1089,1672,Legitimate User
