s_no,lda_1,Label,tweet_count,pca_1,pca_2
0,-0.544722285,Content Polluter,861,0.017377266,-0.004154314
1,-0.331725733,Content Polluter,226,0.005189827,-0.004948954
2,4.581117866,Content Polluter,38674,0.006884498,0.105000323
3,1.158940516,Content Polluter,12718,0.010262843,0.030393825
4,-1.534476746,Content Polluter,873,0.058035083,-0.007533538
5,0.133063915,Content Polluter,686,-0.011357412,-0.002242834
6,2.598532705,Content Polluter,23205,0.00822996,0.060586735
7,0.213893914,Content Polluter,3528,0.000253084,0.004920473
8,-2.08321632,Content Polluter,2749,0.090448898,-0.004883222
9,-0.53849662,Content Polluter,1830,0.022258604,-0.001789582
10,-2.491592965,Content Polluter,2315,0.10501316,-0.00734915
11,0.029978144,Content Polluter,2897,0.004584548,0.002749536
12,0.215787989,Content Polluter,7819,0.022951759,0.015301137
13,-0.29788518,Content Polluter,2361,0.015197693,0.000323698
14,-2.716659754,Content Polluter,893,0.107155391,-0.011602391
15,1.503783203,Content Polluter,20577,0.037351514,0.050624023
16,-0.217393787,Content Polluter,488,0.00200011,-0.003931384
17,-0.662326142,Content Polluter,3033,0.033621893,0.000701307
18,0.079620367,Content Polluter,1977,-0.002335548,0.000696307
19,-1.976826533,Content Polluter,1896,0.081855698,-0.00660529
20,0.081253164,Content Polluter,3681,0.006494154,0.004834608
21,-1.598526059,Content Polluter,1309,0.063018787,-0.006703729
22,0.040822981,Content Polluter,1064,-0.005571393,-0.001646281
23,-0.549957618,Content Polluter,1146,0.019114558,-0.003484172
24,-10.74841887,Content Polluter,4068,0.571392613,-0.041942875
25,-1.15455982,Content Polluter,6667,0.072931012,0.007806838
26,-3.498894183,Content Polluter,3551,0.152784159,-0.007820512
27,0.222514559,Content Polluter,7403,0.020601801,0.014306787
28,-1.018124457,Content Polluter,2072,0.043199341,-0.002854765
29,-2.739796521,Content Polluter,8002,0.145113305,0.005568697
30,0.063177677,Content Polluter,3523,0.006431202,0.00438736
31,0.043405698,Content Polluter,176,-0.010377928,-0.003785389
32,-1.834531396,Content Polluter,2195,0.077303031,-0.005365756
33,0.007187905,Content Polluter,471,-0.007356651,-0.003194263
34,0.386420757,Content Polluter,5667,0.004357291,0.010701155
35,-0.128918633,Content Polluter,264,-0.00289877,-0.004161146
36,-1.268517434,Content Polluter,1950,0.052848116,-0.00401429
37,-2.370697482,Content Polluter,4901,0.113826061,-0.000684752
38,-0.091032936,Content Polluter,71,-0.005439109,-0.004500625
39,-1.534543605,Content Polluter,1670,0.06224468,-0.005604831
40,-3.136834687,Content Polluter,8103,0.16183082,0.004454703
41,-4.735511239,Content Polluter,1151,0.191028069,-0.017904363
42,0.4798325,Content Polluter,12101,0.03447543,0.026595717
43,-2.891675388,Content Polluter,743,0.113147271,-0.012533454
44,-1.076515578,Content Polluter,57,0.034991396,-0.007935541
45,-1.346377928,Content Polluter,2983,0.061487338,-0.001781697
46,-2.327424339,Content Polluter,11152,0.144643852,0.01462857
47,-2.298399307,Content Polluter,423,0.087150545,-0.011267188
48,-3.459747343,Content Polluter,1224,0.13886542,-0.013314956
49,-2.413087587,Content Polluter,5757,0.119774902,0.001268059
50,0.462687947,Content Polluter,7730,0.012955206,0.015883281
51,-0.016537256,Content Polluter,20,-0.008758366,-0.004367998
52,0.040981031,Content Polluter,63,-0.010859421,-0.004068589
53,-0.525702146,Content Polluter,2870,0.027278031,0.000766731
54,-1.586147934,Content Polluter,2769,0.070221634,-0.003127905
55,-0.073633184,Content Polluter,2176,0.004932187,0.000656199
56,0.006528023,Content Polluter,53,-0.009514559,-0.004210077
57,-0.570149354,Content Polluter,1072,0.019651289,-0.003741511
58,-0.58274266,Content Polluter,1281,0.021159646,-0.003269268
59,-1.41088164,Content Polluter,4164,0.071104704,0.000789686
60,-0.136112411,Content Polluter,6,-0.003972682,-0.004809714
61,-0.026236343,Content Polluter,11,-0.008404938,-0.004423454
62,-0.193170655,Content Polluter,1806,0.007916553,-0.000653962
63,-0.289126197,Content Polluter,44,0.002505676,-0.005244828
64,-4.228625954,Content Polluter,1640,0.172753612,-0.014969597
65,3.691630406,Content Polluter,55415,0.131613844,0.142465047
66,-0.042696306,Content Polluter,589,-0.004656171,-0.003083231
67,0.23761944,Content Polluter,3865,0.001063316,0.0058174
68,-1.193644104,Content Polluter,2672,0.053705045,-0.002019303
69,-4.355624701,Content Polluter,755,0.173367003,-0.01755551
70,-21.14167153,Content Polluter,7574,0.898381942,-0.058903451
71,-0.002032786,Content Polluter,81,-0.009025725,-0.004170904
72,-0.500074718,Content Polluter,818,0.015385932,-0.004110508
73,-0.646375714,Content Polluter,16421,0.103505229,0.033169859
74,-0.428489622,Content Polluter,2001,0.018606179,-0.000993119
75,-0.103411061,Content Polluter,456,-0.002915128,-0.00361006
76,0.082033738,Content Polluter,4121,0.008826333,0.005898542
77,-3.779733473,Content Polluter,918,0.150392073,-0.015158994
78,-2.033944454,Content Polluter,3299,0.091367486,-0.003385608
79,-0.113528979,Content Polluter,91,-0.004364623,-0.004533747
80,0.140260411,Content Polluter,2122,-0.004128613,0.001262321
81,-0.18051123,Content Polluter,1228,0.004352272,-0.002009784
82,-0.767881304,Content Polluter,1177,0.028185382,-0.004156864
83,-4.651792119,Content Polluter,22928,0.302000407,0.035137166
84,-0.161541431,Content Polluter,1470,0.004857322,-0.001359263
85,-1.416170251,Content Polluter,1790,0.058008219,-0.004905475
86,-0.018032045,Content Polluter,484,-0.006231045,-0.00325163
87,-0.255433843,Content Polluter,625,0.004273648,-0.003729942
88,0.253029661,Content Polluter,2524,-0.005945944,0.00256335
89,-0.330960548,Content Polluter,224,0.005143439,-0.004950769
90,-0.052782412,Content Polluter,886,-0.002700814,-0.002396867
91,-0.067060693,Content Polluter,121,-0.006165692,-0.004296423
92,-0.17956675,Content Polluter,1152,0.003845859,-0.002184629
93,-0.024429803,Content Polluter,1806,0.000971803,-7.08E-05
94,-1.976047048,Content Polluter,1906,0.081629003,-0.006556669
95,-0.35969137,Content Polluter,91,0.005631779,-0.005372649
96,-1.203877175,Content Polluter,376,0.042030392,-0.007613605
97,-0.325980494,Content Polluter,3330,0.021382873,0.00257936
98,-0.308028965,Content Polluter,95,0.003547286,-0.005186235
99,-0.505895829,Content Polluter,1688,0.02012518,-0.002016887
100,-3.434832117,Content Polluter,1427,0.139111962,-0.012755142
101,-1.648132322,Content Polluter,5243,0.086079635,0.00262377
102,-0.216238152,Content Polluter,1106,0.005110681,-0.002422553
103,-0.011101363,Content Polluter,752,-0.00510062,-0.002579145
104,0.043841371,Content Polluter,6,-0.0112836,-0.004196167
105,-0.907823984,Content Polluter,4213,0.049963076,0.002707979
106,-4.269438497,Content Polluter,2602,0.179756053,-0.012803876
107,1.691276964,Content Polluter,16381,0.00722829,0.041139351
108,-0.334565805,Content Polluter,99,0.004679879,-0.005269962
109,0.062873828,Content Polluter,966,-0.007018302,-0.001805317
110,-3.876519045,Content Polluter,4439,0.173010064,-0.00697614
111,-0.753318769,Content Polluter,11857,0.083793593,0.021756235
112,0.050411494,Content Polluter,1382,-0.004312602,-0.0008413
113,-1.218890547,Content Polluter,9,0.040554182,-0.00853994
114,-0.488772319,Content Polluter,3,0.010596065,-0.006041944
115,-1.45425918,Content Polluter,5213,0.077576973,0.003253255
116,1.531899622,Content Polluter,26752,0.068387782,0.06570139
117,-0.176432299,Content Polluter,3111,0.014115836,0.002562318
118,0.240769854,Content Polluter,7749,0.021391084,0.015232372
119,-0.363890876,Content Polluter,52,0.005604702,-0.005482074
120,0.037031272,Content Polluter,270,-0.009587391,-0.003582728
121,-0.192779201,Content Polluter,1080,0.004090188,-0.002411626
122,-0.139551428,Content Polluter,284,-0.002336549,-0.00415116
123,0.023736885,Content Polluter,1204,-0.004154644,-0.001364263
124,-2.171749376,Content Polluter,2729,0.094019286,-0.005240429
125,-0.244739305,Content Polluter,941,0.005497141,-0.002927804
126,-0.014248856,Content Polluter,813,-0.004638647,-0.002443306
127,-0.372095527,Content Polluter,709,0.009555308,-0.003933063
128,-4.685220739,Content Polluter,1154,0.189255495,-0.017748006
129,-7.25151892,Content Polluter,64812,0.629624453,0.127561746
130,0.048168839,Content Polluter,3490,0.007116788,0.004234365
131,0.409846142,Content Polluter,5225,0.001299415,0.009691352
132,1.323472665,Content Polluter,17084,0.026089772,0.041568489
133,-0.621300736,Content Polluter,4015,0.037109552,0.00322041
134,-2.347364501,Content Polluter,3791,0.106760848,-0.003268993
135,0.729863678,Content Polluter,15559,0.042536558,0.035820353
136,-0.095965469,Content Polluter,50,-0.00534361,-0.00456879
137,-2.18618567,Content Polluter,22263,0.197310783,0.042022826
